tool,problemsize,time
lean-egg,1,0.6796798589930404
lean-simp,1,0.6796187160070986
coq,1,0.12695215400890447
lean-egg,2,0.6942399209947325
lean-simp,2,0.6787896699970588
coq,2,0.12700987100834027
lean-egg,3,0.7095766180136707
lean-simp,3,0.6720019589993171
coq,3,0.13025340900640003
lean-egg,4,0.7360819420136977
lean-simp,4,0.6910068780125584
coq,4,0.13695060898317024
lean-egg,5,0.7895242430095095
lean-simp,5,0.6884844560117926
coq,5,0.14768485800595954
lean-egg,6,0.9077971520018764
lean-simp,6,0.7033233670226764
coq,6,0.19974560601986013
lean-egg,7,1.252460493997205
lean-simp,7,0.7313971309922636
coq,7,0.3409807049902156
lean-egg,8,1.9782920159923378
lean-simp,8,0.7678543670044746
coq,8,1.1186473580019083
lean-egg,9,4.127158749004593
lean-simp,9,0.8613429969991557
coq,9,3.8445353459974285
lean-egg,10,11.058134030987276
lean-simp,10,1.0793156619765796
coq,10,ERR
lean-egg,11,33.85495507597807
lean-simp,11,1.5366898530046456
coq,11,ERR
