tool,problemsize,time
lean-egg,1,0.19801983307115734
lean-simp,1,0.18038966599851847
coq-congruence,1,0.12607270805165172
coq-autorewrite,1,0.12960916594602168
lean-egg,2,0.1962639580015093
lean-simp,2,0.18056670809164643
coq-congruence,2,0.14623829117044806
coq-autorewrite,2,0.14736224990338087
lean-egg,3,0.20825674990192056
lean-simp,3,0.18092333292588592
coq-congruence,3,0.12776708300225437
coq-autorewrite,3,0.12943204189650714
lean-egg,4,0.20851083286106586
lean-simp,4,0.17839004192501307
coq-congruence,4,0.1289632918778807
coq-autorewrite,4,0.13113083387725055
lean-egg,5,0.21738104103133082
lean-simp,5,0.1853819580283016
coq-congruence,5,0.1327020840253681
coq-autorewrite,5,0.1395785000640899
lean-egg,6,0.2446490409784019
lean-simp,6,0.18881799979135394
coq-congruence,6,0.13883420918136835
coq-autorewrite,6,0.15649683284573257
lean-egg,7,0.28215333307161927
lean-simp,7,0.1984272920526564
coq-congruence,7,0.15479787508957088
coq-autorewrite,7,0.19927487499080598
lean-egg,8,0.4153181668370962
lean-simp,8,0.2198717501014471
coq-congruence,8,0.20072883390821517
coq-autorewrite,8,0.2700894591398537
lean-egg,9,0.37183816684409976
lean-simp,9,0.2757890420034528
coq-congruence,9,0.2507611659821123
coq-autorewrite,9,0.43007533298805356
lean-egg,10,0.4418881661258638
lean-simp,10,0.38326829206198454
coq-congruence,10,0.36599758290685713
coq-autorewrite,10,0.7813528338447213
lean-egg,11,0.5255341660231352
lean-simp,11,0.6257025408558547
coq-congruence,11,0.45593166700564325
coq-autorewrite,11,1.5640232500154525
lean-egg,12,0.6044175841379911
lean-simp,12,1.0909463341813534
coq-congruence,12,0.7149674999527633
coq-autorewrite,12,3.222817540867254
lean-egg,13,0.7386981248855591
lean-simp,13,ERR
coq-congruence,13,0.9734135000035167
coq-autorewrite,13,7.060199625091627
lean-egg,14,0.9146429998800159
coq-congruence,14,1.72374412487261
coq-autorewrite,14,ERR
lean-egg,15,1.1333341251593083
coq-congruence,15,2.059567374875769
lean-egg,16,1.3777481249999255
coq-congruence,16,3.66617816593498
lean-egg,17,1.6875872497912496
coq-congruence,17,4.113800040911883
lean-egg,18,2.046454916941002
coq-congruence,18,8.967847042018548
lean-egg,19,2.485067417146638
coq-congruence,19,8.338863499928266
lean-egg,20,3.014344417024404
coq-congruence,20,14.89962162496522
