tool,problemsize,time
lean-egg,2,0.6422480459877988
lean-simp,2,0.6315132309973706
coq-congruence,2,0.12213301099836826
coq-autorewrite,2,0.12211418799415696
lean-egg,3,0.6620700470084557
lean-simp,3,ERR
coq-congruence,3,0.1320011140051065
coq-autorewrite,3,0.1304632550018141
lean-egg,4,0.7032799520093249
coq-congruence,4,0.159355575000518
coq-autorewrite,4,0.13632862400845625
lean-egg,5,0.7205208049999783
coq-congruence,5,0.18617313299910165
coq-autorewrite,5,0.1475016769982176
lean-egg,6,0.7534142980002798
coq-congruence,6,0.18168802400759887
coq-autorewrite,6,0.1535869769868441
lean-egg,7,0.7775378549995366
coq-congruence,7,0.19396257199696265
coq-autorewrite,7,0.156725691005704
lean-egg,8,0.815968991999398
coq-congruence,8,0.19018847501138225
coq-autorewrite,8,0.16126865800470114
lean-egg,9,0.8515405820071464
coq-congruence,9,0.1947454230103176
coq-autorewrite,9,0.1695758200075943
lean-egg,10,0.915679222001927
coq-congruence,10,0.19404085399582982
coq-autorewrite,10,0.1694830940105021
lean-egg,11,0.9643738940067124
coq-congruence,11,0.2023741169978166
coq-autorewrite,11,0.1856246329989517
lean-egg,12,1.0340080579917412
coq-congruence,12,0.1992507060058415
coq-autorewrite,12,0.1826275220082607
lean-egg,13,1.1367186330026016
coq-congruence,13,0.19935768999857828
coq-autorewrite,13,0.19639132400334347
lean-egg,14,1.2690146609966177
coq-congruence,14,0.19572146999416873
coq-autorewrite,14,0.2023423929931596
lean-egg,15,1.406396471997141
coq-congruence,15,0.20107957800792065
coq-autorewrite,15,0.20359277400712017
lean-egg,16,1.6019321439962368
coq-congruence,16,0.20513175800442696
coq-autorewrite,16,0.2136644379934296
lean-egg,17,1.8028803830093239
coq-congruence,17,0.20816475899482612
coq-autorewrite,17,0.21662561500852462
lean-egg,18,2.0435068360093283
coq-congruence,18,0.2104936789983185
coq-autorewrite,18,0.22906183201121166
lean-egg,19,2.3435586699924897
coq-congruence,19,0.21511409799859393
coq-autorewrite,19,0.22638942299818154
lean-egg,20,2.716360940001323
coq-congruence,20,0.21852672299428377
coq-autorewrite,20,0.23922377798589878
lean-egg,21,3.318415739995544
coq-congruence,21,0.23298117499507498
coq-autorewrite,21,0.2432581650064094
lean-egg,22,3.794897209008923
coq-congruence,22,0.23375031900650356
coq-autorewrite,22,0.2448345999873709
lean-egg,23,4.68562896399817
coq-congruence,23,0.22891111200442538
coq-autorewrite,23,0.2577333459921647
lean-egg,24,5.467759676990681
coq-congruence,24,0.2384776580001926
coq-autorewrite,24,0.2553162839903962
lean-egg,25,6.4427757619996555
coq-congruence,25,0.2498662009893451
coq-autorewrite,25,0.25956680200761184
lean-egg,26,7.56498215800093
coq-congruence,26,0.26204218599013984
coq-autorewrite,26,0.2749652570055332
lean-egg,27,9.274810190996504
coq-congruence,27,0.25872650400560815
