tool,problemsize,time
lean-egg,1,0.6817286429868545
lean-simp,1,0.7051833730074577
coq,1,0.126411470992025
lean-egg,2,0.7255555650044698
lean-simp,2,0.6887725840206258
coq,2,0.12838330600061454
lean-egg,3,0.7045147320022807
lean-simp,3,0.6891658219974488
coq,3,0.12968420202378184
lean-egg,4,0.7277847229852341
lean-simp,4,0.6972389130096417
coq,4,0.1328546899894718
lean-egg,5,0.7959072960074991
lean-simp,5,0.7045500359963626
coq,5,0.1469670080114156
lean-egg,6,0.920076684007654
lean-simp,6,0.7112753020192031
coq,6,0.19531212298898026
lean-egg,7,1.279470036010025
lean-simp,7,0.7433034050045535
coq,7,0.3409655519935768
lean-egg,8,2.046420106984442
lean-simp,8,0.7764764080056921
coq,8,0.9972983390034642
lean-egg,9,4.094334919995163
lean-simp,9,0.867879116005497
coq,9,3.8299923370068427
lean-egg,10,ERR
lean-simp,10,1.041555329982657
coq,10,ERR
lean-egg,11,ERR
lean-simp,11,1.4369439889851492
coq,11,ERR
