tool,problemsize,time
lean-egg,1,0.71589261200279
lean-simp,1,0.7404762789956294
coq,1,0.1490742870082613
lean-egg,2,0.7186490890162531
lean-simp,2,0.7098848029854707
coq,2,0.13419771002372727
lean-egg,3,0.7206154210143723
lean-simp,3,0.753820796002401
coq,3,0.13654231699183583
lean-egg,4,0.7312339339987375
lean-simp,4,0.6655877669982146
coq,4,0.12754500799928792
lean-egg,5,0.7025768439925741
lean-simp,5,0.7611211639887188
coq,5,0.15645931402104907
lean-egg,6,0.8628214870113879
lean-simp,6,0.7553033959993627
coq,6,0.1941145840100944
lean-egg,7,0.9560658780101221
lean-simp,7,0.7363370859820861
coq,7,0.2552197010081727
lean-egg,8,1.112830200989265
lean-simp,8,0.8291421239846386
coq,8,0.40544453900656663
lean-egg,9,1.2471650560037233
lean-simp,9,0.9017007740039844
coq,9,0.7177892100007739
lean-egg,10,1.4182530360121746
lean-simp,10,1.2592859279830009
coq,10,1.0241191789973527
lean-egg,11,1.8819656370033044
lean-simp,11,2.4529789880034514
coq,11,1.3348563789913896
lean-egg,12,2.0376313099986874
lean-simp,12,4.079685365984915
coq,12,2.1928586649883073
lean-egg,13,2.629800677008461
lean-simp,13,ERR
coq,13,2.8432280709967017
lean-egg,14,2.778434397012461
lean-simp,14,ERR
coq,14,5.603165841981536
lean-egg,15,3.5163683110149577
lean-simp,15,ERR
coq,15,6.59161166800186
