tool,problemsize,time
lean-egg,1,0.20212429203093052
lean-simp,1,0.16639754106290638
coq,1,0.12816075002774596
lean-egg,2,0.18037495901808143
lean-simp,2,0.16827074997127056
coq,2,0.1301167500205338
lean-egg,3,0.17784237512387335
lean-simp,3,0.16576374997384846
coq,3,0.12497629201970994
lean-egg,4,0.1851215830538422
lean-simp,4,0.1674012909643352
coq,4,0.12463958305306733
lean-egg,5,0.20210062502883375
lean-simp,5,0.191266915993765
coq,5,0.12774595781229436
lean-egg,6,0.23353520804084837
lean-simp,6,0.1722347498871386
coq,6,0.14017724990844727
lean-egg,7,0.3019998329691589
lean-simp,7,0.1788757499307394
coq,7,0.1759405001066625
lean-egg,8,0.5106685000937432
lean-simp,8,0.18962095910683274
coq,8,0.3737069161143154
lean-egg,9,1.1413808749057353
lean-simp,9,0.224318458000198
coq,9,1.3377918750047684
lean-egg,10,3.2249896249268204
lean-simp,10,0.2845560829155147
coq,10,ERR
lean-egg,11,ERR
lean-simp,11,0.3961865829769522
coq,11,ERR
lean-egg,12,ERR
lean-simp,12,0.6667643329128623
coq,12,ERR
lean-egg,13,ERR
lean-simp,13,ERR
coq,13,ERR
